,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,14551,https://www.airbnb.com/rooms/14551,20240929170954,2024-09-30,city scrape,Cozy & Colorful by Nature (Private Room),"Up on the hill of MontjuÃ¯c (a mountain overlooking the city where Jewish people were forced to retire when they were thrown out of town), only 10 minutes by bus from Girona's beautiful Old Town.<br /><br />Private room with private bathroom and garden just for you!  You also have a wooden house in the garden where to store your bike and other sports equipment.<br /><br />Be aware you are not renting the whole place; we also live here.","MontjuÃ¯c is most likely the best neighborhood in Girona. We are up in a hill, only 15-20 minutes to the center of the city, and surrounded by Nature. it is very safe and quiet.",https://a0.muscache.com/pictures/airflow/Hosting-14551/original/89d0e77d-0e94-4df3-af01-5091986fe765.jpg,57237,https://www.airbnb.com/users/show/57237,Mun,2009-11-24,"Girona, Spain","It's hard to define oneself in such a narrow space. I think we people are really complex material. But since I guess it's good I say a bit, I would define myself as someone fascinated about living and getting to know both this planet and its inhabitants. I'm interested in serving people, especially, but not exclusively, my friends. I enjoy good food and if possible better company. My interests are broad and go from traveling, literature, creative writing, philosophy and body ""care"" to Buddhism.  I'm pushful, curious, a bit narcissist maybe, hahaha, and I guess I tend to dream pies in the sky far too often.

I am original Catalan, from lovely Girona - Costa Brava but I've lived abroad for many long periods: Miami, Dubai, Bali and Melbourne (Australia). My live partner is a lovely aussie-greek Personal Trainer named Stelios and, together we travel the world, when not working.

I like outdoors sports and I am addicted to mountain biking. I also like snowboarding, climbing, hiking, swimming ...; I also do some mat work like yoga and Pilates (of which I am a certified Instructor). 

I read a lot, books facinate me!!

I like to go out eating with my friends from time to time, although I am most of a day-creature and at night I like my sleep. I practice ioga and meditation and have a second level on Reiki. I'm a flexitarian (meaning I eat fish but not meat) by moral reasons and I enjoy a lot good food, if possible made with organic products. Music, all kind of music - depending on the moment - is very important to me; couldn't live without it. But my main and huge passion is travelling and meeting new people, travellers like me, or locals, and learn about them and their experiences in life. 

After many yearts working for others, I am now running my my own company. It's a fresh project dedicated to giving marketing and creativity services & solutions to other companies. I am also a teacher at the University of Girona, where I teach at the Faculties of Tourism and Economics and I run an international women's project named ""Grace of No Age"", devoted to mature women.

I am pretty busy however I don't complain, as I do what I like.",within an hour,1.0,0.83,t,https://a0.muscache.com/im/pictures/user/fbea53e8-bfc4-4620-9a4c-c8b47784a2ca.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fbea53e8-bfc4-4620-9a4c-c8b47784a2ca.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone', 'work_email']",t,t,"Girona, CT, Spain",Girona,,41.99517,2.83667,Private room in condo,Private room,2,1.0,1 private bath,1.0,1.0,"[""Heating"", ""Washer"", ""Indoor fireplace"", ""Dishwasher"", ""TV"", ""Free street parking"", ""Essentials"", ""Refrigerator"", ""Lock on bedroom door"", ""Hair dryer"", ""Elevator"", ""Long term stays allowed"", ""Outdoor furniture"", ""Iron"", ""Host greets you"", ""Wifi"", ""Dryer"", ""Dishes and silverware"", ""Microwave"", ""Shampoo"", ""Kitchen"", ""Single level home"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Fire extinguisher"", ""Coffee maker"", ""Shared patio or balcony"", ""Cooking basics"", ""First aid kit"", ""Hot water"", ""Shared pool""]",59.0,2,1125,1,2,1125,1125,1.7,1125.0,,t,7,37,66,335,2024-09-30,71,7,4,2010-10-08,2024-09-21,4.84,4.81,4.96,4.9,4.93,4.65,4.77,HUTG-049542,f,1,0,1,0,0.42
30,695685,https://www.airbnb.com/rooms/695685,20240929170954,2024-09-30,city scrape,House in Costa Brava with salt pool,"Double bedroom in a house with 350m backyard and private salt pool. Very close to the town center, in a very quiet area surrounded by vineyards. 2km away from crystalline beaches where you can practice snorkel. 5km away from PalamÃ³s and Platja d'Aro.","Very quiet neighborhood, surrounded by vineyards, fruit trees and rural houses where you can buy high quality local products.",https://a0.muscache.com/pictures/airflow/Hosting-695685/original/05455ce2-cedc-4ee6-aa58-d0903e0925f3.jpg,3561447,https://www.airbnb.com/users/show/3561447,Margarita,2012-09-13,"Calonge, Spain","Vivo en Calonge, en plena Costa Brava, aunque soy de Barcelona. Mis aficiones son visitar lugares nuevos, por lo que viajar me encanta. TambiÃ©n me gusta practicar deportes, como bicicleta y kayak y en invierno, esqui. ",within an hour,1.0,0.89,t,https://a0.muscache.com/im/pictures/user/User-3561447/original/f3da272f-23cd-417c-a1b2-a7f243a5321f.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-3561447/original/f3da272f-23cd-417c-a1b2-a7f243a5321f.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Calonge, Catalonia, Spain",Calonge,,41.86603,3.07679,Private room in townhouse,Private room,2,1.0,1 private bath,1.0,1.0,"[""Heating"", ""Washer"", ""Free street parking"", ""Outdoor dining area"", ""Essentials"", ""Refrigerator"", ""Hair dryer"", ""Long term stays allowed"", ""Outdoor furniture"", ""Iron"", ""Host greets you"", ""Hammock"", ""BBQ grill"", ""Self check-in"", ""Lockbox"", ""Fast wifi \u2013 174 Mbps"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Shampoo"", ""Kitchen"", ""Beach access \u2013 Beachfront"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Fire extinguisher"", ""Coffee maker"", ""Children\u2019s books and toys"", ""Shared patio or balcony"", ""Cooking basics"", ""First aid kit"", ""Hot water"", ""Shared pool""]",55.0,1,1125,1,1,1125,1125,1.0,1125.0,,t,28,58,88,363,2024-09-30,96,21,3,2014-07-07,2024-09-14,4.69,4.73,4.8,4.78,4.86,4.64,4.58,Exempt,f,1,0,1,0,0.77
51,398377,https://www.airbnb.com/rooms/398377,20240929170954,2024-09-30,city scrape,CAMA EN UNA CASA DE LA COSTA BRAVA,,,https://a0.muscache.com/pictures/airflow/Hosting-398377/original/ec20d26f-2f14-4890-ba7c-3dd4512b5e3d.jpg,1989406,https://www.airbnb.com/users/show/1989406,Mari,2012-03-22,"Begur, Spain","Begur es un lugar mÃ¡s bellos y preciosos de la costa MediterrÃ¡nea, os ofrecemos en nuestra casa dos habitaciones para todos aquellos viajeros que quieran descubrir la Costa Brava. ",within a few hours,1.0,0.95,t,https://a0.muscache.com/im/users/1989406/profile_pic/1341344234/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1989406/profile_pic/1341344234/original.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone']",t,t,,Begur,,41.95527,3.20726,Private room in home,Private room,2,1.5,1.5 shared baths,1.0,1.0,"[""Heating"", ""Indoor fireplace"", ""Patio or balcony"", ""Outdoor dining area"", ""Essentials"", ""Lock on bedroom door"", ""Refrigerator"", ""Hair dryer"", ""Outdoor furniture"", ""Host greets you"", ""Hammock"", ""Clothing storage: closet"", ""Wifi"", ""Shower gel"", ""Carbon monoxide alarm"", ""Drying rack for clothing"", ""Backyard"", ""Room-darkening shades"", ""Hangers"", ""Bed linens"", ""Fire extinguisher"", ""Ceiling fan"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Coffee maker"", ""Body soap"", ""Hot water""]",68.0,2,30,2,2,30,30,2.0,30.0,,t,10,10,10,127,2024-09-30,264,21,3,2012-05-14,2024-09-15,4.75,4.76,4.93,4.87,4.82,4.88,4.7,HUTG-017806,f,3,0,3,0,1.75
97,516474,https://www.airbnb.com/rooms/516474,20240929170954,2024-09-30,city scrape,CAMA EN UNA CASA DE COSTA BRAVA 2,,"Our street is one of the oldest in Begur , our house is from 1760 like almost all the neighbors.",https://a0.muscache.com/pictures/airflow/Hosting-516474/original/41f2822d-7411-4e4f-8dd3-8ebfa1b42c37.jpg,1989406,https://www.airbnb.com/users/show/1989406,Mari,2012-03-22,"Begur, Spain","Begur es un lugar mÃ¡s bellos y preciosos de la costa MediterrÃ¡nea, os ofrecemos en nuestra casa dos habitaciones para todos aquellos viajeros que quieran descubrir la Costa Brava. ",within a few hours,1.0,0.95,t,https://a0.muscache.com/im/users/1989406/profile_pic/1341344234/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1989406/profile_pic/1341344234/original.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone']",t,t,"Begur, Catalonia, Spain",Begur,,41.95635,3.2079,Private room in home,Private room,2,1.5,1.5 shared baths,1.0,1.0,"[""Heating"", ""Indoor fireplace: wood-burning"", ""Outdoor dining area"", ""Essentials"", ""Refrigerator"", ""Lock on bedroom door"", ""Hair dryer"", ""Outdoor furniture"", ""Free dryer \u2013 In unit"", ""Host greets you"", ""Hammock"", ""Wifi"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Shampoo"", ""Beach essentials"", ""Hangers"", ""Fire extinguisher"", ""Smoke alarm"", ""Coffee maker"", ""Shared patio or balcony"", ""Shared backyard \u2013 Fully fenced""]",68.0,2,15,3,3,15,15,3.0,15.0,,t,13,13,13,134,2024-09-30,91,15,4,2013-09-25,2024-09-25,4.87,4.83,4.98,4.92,4.8,4.95,4.84,HUTG-017806,f,3,0,3,0,0.68
116,538802,https://www.airbnb.com/rooms/538802,20240929170954,2024-09-30,city scrape,"Un espacio agradable, amplio y cerca de la PLAYA",Bedroom and dining room decorated with my paintings.,"quiet street, the house is next to a GR road.",https://a0.muscache.com/pictures/47a93a57-b22f-46f3-9bf3-88cc693a1fe2.jpg,2468919,https://www.airbnb.com/users/show/2468919,JÃºlia,2012-05-26,,"NacÃ­ en Portbou, me gusta mucho la pintura, la artesania, la fotografia, doy classes en Portbou y en Figueres, me motiva todo lo relacionado con la naturaleza, ioga, terapias y forma de vida alternativas, viatjar, conocer otras culturas, charlar con los amigos, escuchar mÃºsica, bailar etc.",within a day,1.0,0.9,t,https://a0.muscache.com/im/pictures/user/User-2468919/original/995ff943-00f3-45bc-886b-84981e48c6cb.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-2468919/original/995ff943-00f3-45bc-886b-84981e48c6cb.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Portbou, Catalunya, Spain",Portbou,,42.4266,3.16041,Private room in guest suite,Private room,2,1.0,1 private bath,1.0,2.0,"[""Central heating"", ""Essentials"", ""Hair dryer"", ""Long term stays allowed"", ""Host greets you"", ""Clothing storage: closet"", ""Wifi"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Room-darkening shades"", ""Hot water kettle"", ""Private entrance"", ""Hangers"", ""Bed linens"", ""Bathtub"", ""Paid washer \u2013 In building"", ""Mini fridge"", ""Extra pillows and blankets"", ""Dining table"", ""Hot water""]",35.0,2,30,2,2,30,30,2.0,30.0,,t,26,56,86,176,2024-09-30,170,19,1,2012-08-30,2024-09-15,4.7,4.83,4.77,4.87,4.85,4.83,4.7,,f,1,0,1,0,1.16
123,1000382,https://www.airbnb.com/rooms/1000382,20240929170954,2024-09-30,city scrape,Double room near train/bus station,,"It is a fairly new neighborhood, so it is very nice: very wide sidewalks and narrow streets, so few cars circulate. Also, even though it is new, it is close to downtown and the old town (10-15 min walk). In the immediate surroundings of the apartment, there are all kinds of establishments: supermarkets, cafes, bars, restaurants, ATMs, fruit shops, etc.",https://a0.muscache.com/pictures/18138618/7c6f99f5_original.jpg,5499707,https://www.airbnb.com/users/show/5499707,Pilar,2013-03-17,"Girona, Spain","Tengo 73 aÃ±os , estoy jubilada y vivo a 5 minutos de la estaciÃ³n de tren y de bus para el aeropuerto. Â¡Bienvenid@ a Girona!",within an hour,1.0,0.69,f,https://a0.muscache.com/im/users/5499707/profile_pic/1401867905/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/5499707/profile_pic/1401867905/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,"Girona, Catalonia, Spain",Girona,,41.98188,2.8123,Private room in condo,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Heating"", ""Washer"", ""Free street parking"", ""High chair"", ""Clothing storage"", ""Essentials"", ""Refrigerator"", ""Hair dryer"", ""Elevator"", ""Long term stays allowed"", ""Iron"", ""Host greets you"", ""AC - split type ductless system"", ""Wifi"", ""Dryer"", ""Dedicated workspace"", ""Dishes and silverware"", ""Microwave"", ""Room-darkening shades"", ""Kitchen"", ""Paid parking on premises"", ""Hangers"", ""Freezer"", ""Bed linens"", ""Oven"", ""Extra pillows and blankets"", ""Coffee maker"", ""Cooking basics"", ""Toaster"", ""Hot water""]",40.0,2,30,2,2,30,30,2.0,30.0,,t,0,0,0,272,2024-09-30,244,4,0,2013-05-06,2024-05-06,4.75,4.89,4.85,4.72,4.8,4.73,4.75,HUTG-030108,f,2,0,2,0,1.76
136,1054770,https://www.airbnb.com/rooms/1054770,20240929170954,2024-09-30,city scrape,Single room near train/bus station,,"It is a fairly new neighborhood, so it is very nice: very wide sidewalks and narrow streets, so few cars circulate. Also, even though it is new, it is close to downtown and the old town (10-15 min walk). In the immediate surroundings of the apartment, there are all kinds of establishments: supermarkets, cafes, bars, restaurants, ATMs, fruit shops, etc.",https://a0.muscache.com/pictures/18136304/6aff5910_original.jpg,5499707,https://www.airbnb.com/users/show/5499707,Pilar,2013-03-17,"Girona, Spain","Tengo 73 aÃ±os , estoy jubilada y vivo a 5 minutos de la estaciÃ³n de tren y de bus para el aeropuerto. Â¡Bienvenid@ a Girona!",within an hour,1.0,0.69,f,https://a0.muscache.com/im/users/5499707/profile_pic/1401867905/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/5499707/profile_pic/1401867905/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,"Girona, Catalonia, Spain",Girona,,41.98098,2.81405,Private room in condo,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Heating"", ""Washer"", ""TV"", ""Free street parking"", ""Clothing storage"", ""Essentials"", ""Refrigerator"", ""Hair dryer"", ""Elevator"", ""Iron"", ""Host greets you"", ""AC - split type ductless system"", ""Wifi"", ""Dryer"", ""Dishes and silverware"", ""Microwave"", ""Room-darkening shades"", ""Kitchen"", ""Paid parking on premises"", ""Hangers"", ""Freezer"", ""Bed linens"", ""Oven"", ""Extra pillows and blankets"", ""Coffee maker"", ""Shared patio or balcony"", ""Cooking basics"", ""Toaster"", ""Hot water""]",33.0,2,45,2,2,45,45,2.0,45.0,,t,0,0,0,272,2024-09-30,255,17,0,2013-04-22,2024-08-09,4.69,4.81,4.79,4.75,4.85,4.71,4.73,HUTG-030108,f,2,0,2,0,1.83
144,1112277,https://www.airbnb.com/rooms/1112277,20240929170954,2024-09-30,city scrape,"Beautiful room in a house in MontjuÃ¯c, Girona","The house is located in a green area next to the cathedral. Very  quite area, ideal for people that like to enjoy nature and with history.",Residential area. Very quiet,https://a0.muscache.com/pictures/ff498266-3e6d-4d40-84f8-a594d9efb5ca.jpg,5864083,https://www.airbnb.com/users/show/5864083,Olga,2013-04-10,"Girona, Spain","Hi! I'm Olga. I live in Girona with my son, who's 16 years old and with our cat, Marley and our dog, Jazz.

I work as a teacher. I love music, cooking and spending time with friends.",within a few hours,1.0,0.95,f,https://a0.muscache.com/im/pictures/user/User-5864083/original/b4c51e27-d44a-4306-add9-afb19ea70882.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-5864083/original/b4c51e27-d44a-4306-add9-afb19ea70882.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Girona, Catalonia, Spain",Girona,,41.99071,2.82736,Private room in townhouse,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Dishwasher"", ""TV"", ""Central heating"", ""Free street parking"", ""Coffee maker: Nespresso"", ""Outdoor dining area"", ""Barbecue utensils"", ""Essentials"", ""Paid washer \u2013 In unit"", ""Refrigerator"", ""Children\u2019s dinnerware"", ""Hair dryer"", ""Dining table"", ""Long term stays allowed"", ""Keypad"", ""Outdoor furniture"", ""Iron"", ""Private living room"", ""Laundromat nearby"", ""Wifi"", ""Smoking allowed"", ""Self check-in"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Portable heater"", ""Backyard"", ""Clothing storage: closet and dresser"", ""Dishes and silverware"", ""Microwave"", ""Cleaning products"", ""Room-darkening shades"", ""Hot water kettle"", ""Luggage dropoff allowed"", ""Shampoo"", ""Wine glasses"", ""Kitchen"", ""Conditioner"", ""Single level home"", ""Hangers"", ""Freezer"", ""Bed linens"", ""Oven"", ""BBQ grill: gas"", ""Board games"", ""Ceiling fan"", ""Extra pillows and blankets"", ""Blender"", ""Body soap"", ""Free parking on premises"", ""Shared patio or balcony"", ""Cooking basics"", ""Stove"", ""Toaster"", ""Hot water""]",51.0,2,60,2,2,60,60,2.0,60.0,,t,10,12,14,289,2024-09-30,78,18,0,2014-08-11,2024-08-23,4.77,4.76,4.79,4.9,4.87,4.77,4.68,Exempt,f,1,0,1,0,0.63
147,1171096,https://www.airbnb.com/rooms/1171096,20240929170954,2024-09-30,city scrape,"BEACH 5 MIN WALK, COSTA BRAVA, NATURE & PEACE","It is a pleasure to share our beach house surrounded by nature at 5 min. walk from the beach called Cala Canyelles, on the Costa Brava in a peaceful and unique place.<br />We offer private room with double bed with private bathroom.<br />House Exclusively to rest, go to the beach, hammocks to take a nap, WIFI. The house has 4 rooms.<br />All these spaces are coexisting and shared: terraces, dining rooms, kitchen, gardens.<br />What to do in the Costa Brava: Hiking, Snorkeling, Kayaking.","Quiet and safe neighborhood. Our neighbors are quite far from us. We offer a lot of privacy. <br />Local restaurant  with  Mediterranean gastronomy at the beach under the name Restaurant Cala Canyelles.<br />Bar at the beach for nice sunsets, daily menu, fresh juices...<br />Supermarket 5 minutes walk from the house.<br />Bus stop 5 minutes walk.",https://a0.muscache.com/pictures/7a0463ed-49f4-4fc5-b01d-5a6a00699055.jpg,6272246,https://www.airbnb.com/users/show/6272246,Eva I Ana,2013-05-07,"Barcelona, Spain",I'm From Lloret de Mar. I studied tourism hospitality and management and I was working in a hotel as a receptionist in barcelona for almost 3 years.  I worked at W Barcelona for 2 years. I like nature and read a good book on the beach.I hope you like the small paradise that we have in the costa brava.,within an hour,1.0,1.0,t,https://a0.muscache.com/im/users/6272246/profile_pic/1431470937/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6272246/profile_pic/1431470937/original.jpg?aki_policy=profile_x_medium,,3,7,"['email', 'phone', 'work_email']",t,t,"Lloret de Mar, Girona, Spain",Lloret de Mar,,41.70818,2.87825,Private room in home,Private room,2,3.0,3 baths,1.0,1.0,"[""Heating"", ""Indoor fireplace"", ""High chair"", ""Pocket wifi"", ""Outdoor dining area"", ""Essentials"", ""Paid washer \u2013 In unit"", ""Lock on bedroom door"", ""Hair dryer"", ""Refrigerator"", ""Outdoor furniture"", ""Iron"", ""Courtyard view"", ""Host greets you"", ""Hammock"", ""Garden view"", ""Wifi"", ""Dedicated workspace"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Microwave"", ""Kitchen"", ""Beach access \u2013 Beachfront"", ""Hangers"", ""Oven"", ""Bed linens"", ""Private backyard \u2013 Fully fenced"", ""Fire extinguisher"", ""Paid dryer \u2013 In building"", ""Extra pillows and blankets"", ""Coffee maker"", ""Free parking on premises"", ""Children\u2019s books and toys"", ""Waterfront"", ""Shared patio or balcony"", ""Cooking basics"", ""Stove"", ""Hot water""]",65.0,1,4,1,1,1125,1125,1.0,1125.0,,t,0,0,0,182,2024-09-30,276,26,0,2013-07-24,2024-08-27,4.72,4.78,4.74,4.85,4.83,4.75,4.74,Exempt,t,3,0,3,0,2.03
150,1205757,https://www.airbnb.com/rooms/1205757,20240929170954,2024-09-30,city scrape,HabitaciÃ³n doble + baÃ±o y terraza,,Beautiful beaches 15 min drive. Municipal swimming pool 10 min walk and restaurants with inexpensive menus.<br />Bus with direct line to Lloret de Mar and Girona.,https://a0.muscache.com/pictures/02e0a61e-078e-4d72-8fbd-6ba71378b361.jpg,6586355,https://www.airbnb.com/users/show/6586355,Montse,2013-05-26,"Vidreres, Spain",Adoro viatjar i veure mÃ³n!,within a few hours,1.0,0.73,f,https://a0.muscache.com/im/pictures/user/User-6586355/original/a897a7b2-cd6e-46ac-87e0-937230c4173f.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-6586355/original/a897a7b2-cd6e-46ac-87e0-937230c4173f.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Vidreres, Catalonia, Spain",Vidreres,,41.79358,2.7749,Private room in loft,Private room,2,1.5,1.5 shared baths,1.0,1.0,"[""TV"", ""Free street parking"", ""Essentials"", ""Refrigerator"", ""Hair dryer"", ""Iron"", ""Wifi"", ""Bidet"", ""Portable fans"", ""Drying rack for clothing"", ""Outdoor shower"", ""Dishes and silverware"", ""Microwave"", ""Hot water kettle"", ""Private entrance"", ""Wine glasses"", ""Kitchen"", ""Freezer"", ""Bed linens"", ""Oven"", ""Extra pillows and blankets"", ""Coffee maker"", ""Free parking on premises"", ""Shared patio or balcony"", ""Cooking basics"", ""Toaster"", ""Hot water""]",61.0,3,30,2,3,30,30,2.7,30.0,,t,30,60,90,289,2024-09-30,69,6,0,2013-08-01,2024-08-18,4.83,4.79,4.87,4.87,4.92,4.7,4.82,,f,1,0,1,0,0.51
